"","Mes","Ano","CB"
"1","07","1994","64"
"2","08","1994","70.22"
"3","09","1994","80.78"
"4","10","1994","86.63"
"5","11","1994","84.71"
"6","12","1994","80.2"
"7","01","1995","80.91"
"8","02","1995","78.37"
"9","03","1995","83.19"
"10","04","1995","93.28"
"11","05","1995","92.67"
"12","06","1995","86.14"
"13","07","1995","80.79"
"14","08","1995","83.18"
"15","09","1995","83.71"
"16","10","1995","87.04"
"17","11","1995","86.48"
"18","12","1995","90.24"
"19","01","1996","93.71"
"20","02","1996","87.85"
"21","03","1996","86.78"
"22","04","1996","89.62"
"23","05","1996","87.95"
"24","06","1996","94.32"
"25","07","1996","90.27"
"26","08","1996","91.56"
"27","09","1996","93.27"
"28","10","1996","91.94"
"29","11","1996","89.89"
"30","12","1996","88.35"
"31","01","1997","88.73"
"32","02","1997","90.91"
"33","03","1997","97.45"
"34","04","1997","100.26"
"35","05","1997","94.18"
"36","06","1997","88.47"
"37","07","1997","86.55"
"38","08","1997","91.29"
"39","09","1997","92.42"
"40","10","1997","93.63"
"41","11","1997","95.48"
"42","12","1997","99.65"
"43","01","1998","102.95"
"44","02","1998","101.72"
"45","03","1998","103.53"
"46","04","1998","109.07"
"47","05","1998","104.6"
"48","06","1998","101.5"
"49","07","1998","94.81"
"50","08","1998","92.68"
"51","09","1998","92.81"
"52","10","1998","95.28"
"53","11","1998","95.96"
"54","12","1998","96.16"
"55","01","1999","95.56"
"56","02","1999","98.58"
"57","03","1999","97.94"
"58","04","1999","98.09"
"59","05","1999","101.52"
"60","06","1999","100.76"
"61","07","1999","97.16"
"62","08","1999","102.76"
"63","09","1999","99.25"
"64","10","1999","106.07"
"65","11","1999","106.69"
"66","12","1999","103.82"
"67","01","2000","102.23"
"68","02","2000","104.12"
"69","03","2000","106.78"
"70","04","2000","111.61"
"71","05","2000","103.49"
"72","06","2000","97.52"
"73","07","2000","105.3"
"74","08","2000","109.25"
"75","09","2000","113.32"
"76","10","2000","114.56"
"77","11","2000","114.61"
"78","12","2000","109.09"
"79","01","2001","115.1"
"80","02","2001","112.21"
"81","03","2001","116.19"
"82","04","2001","123.76"
"83","05","2001","123.06"
"84","06","2001","119.67"
"85","07","2001","119.52"
"86","08","2001","120.79"
"87","09","2001","120.33"
"88","10","2001","127.36"
"89","11","2001","129.87"
"90","12","2001","130.67"
"91","01","2002","125.55"
"92","02","2002","124.5"
"93","03","2002","122.98"
"94","04","2002","124.93"
"95","05","2002","124.53"
"96","06","2002","124.65"
"97","07","2002","129.06"
"98","08","2002","129.76"
"99","09","2002","135.43"
"100","10","2002","137.85"
"101","11","2002","150.65"
"102","12","2002","152.18"
"103","01","2003","154.13"
"104","02","2003","158.24"
"105","03","2003","166.89"
"106","04","2003","170.33"
"107","05","2003","163.53"
"108","06","2003","155.33"
"109","07","2003","149.06"
"110","08","2003","148.21"
"111","09","2003","151.1"
"112","10","2003","155.7"
"113","11","2003","159.15"
"114","12","2003","159.19"
"115","01","2004","160.56"
"116","02","2004","157.82"
"117","03","2004","154.43"
"118","04","2004","156.29"
"119","05","2004","162.79"
"120","06","2004","168.94"
"121","07","2004","165.47"
"122","08","2004","171.95"
"123","09","2004","166.03"
"124","10","2004","162.92"
"125","11","2004","158.13"
"126","12","2004","155.91"
"127","01","2005","160.1"
"128","02","2005","164.13"
"129","03","2005","166.32"
"130","04","2005","171.69"
"131","05","2005","177.15"
"132","06","2005","168.4"
"133","07","2005","163.21"
"134","08","2005","156.64"
"135","09","2005","158.05"
"136","10","2005","164.57"
"137","11","2005","172.59"
"138","12","2005","176.92"
"139","01","2006","163.16"
"140","02","2006","159.21"
"141","03","2006","161.61"
"142","04","2006","172.24"
"143","05","2006","166.13"
"144","06","2006","160.09"
"145","07","2006","157.86"
"146","08","2006","154.48"
"147","09","2006","158.36"
"148","10","2006","165.05"
"149","11","2006","177.45"
"150","12","2006","167.98"
"151","01","2007","170.29"
"152","02","2007","173.3"
"153","03","2007","182.15"
"154","04","2007","172.04"
"155","05","2007","169.66"
"156","06","2007","170.94"
"157","07","2007","167.85"
"158","08","2007","174.28"
"159","09","2007","176.62"
"160","10","2007","179.15"
"161","11","2007","185.31"
"162","12","2007","187.23"
"163","01","2008","197.77"
"164","02","2008","196.5"
"165","03","2008","196.98"
"166","04","2008","209.52"
"167","05","2008","220.74"
"168","06","2008","227.58"
"169","07","2008","244.3"
"170","08","2008","229.93"
"171","09","2008","218.1"
"172","10","2008","221.4"
"173","11","2008","228"
"174","12","2008","229.39"
"175","01","2009","227.89"
"176","02","2009","228.37"
"177","03","2009","210.56"
"178","04","2009","209.73"
"179","05","2009","211.33"
"180","06","2009","213.52"
"181","07","2009","206.71"
"182","08","2009","211.47"
"183","09","2009","214.26"
"184","10","2009","216.59"
"185","11","2009","222.67"
"186","12","2009","211.85"
"187","01","2010","211.99"
"188","02","2010","215.61"
"189","03","2010","231.3"
"190","04","2010","238.71"
"191","05","2010","233.49"
"192","06","2010","227.14"
"193","07","2010","216.11"
"194","08","2010","214.57"
"195","09","2010","219.28"
